Title	URL	Sprint	Estimated	Real	Linked pull requests	Priority	Labels
FEAT: Number Of Kids Question and Onboarding Screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/40	Sprint-5					release: feature
FEAT: Energy Level Page	https://github.com/amosproj/amos2024ws04-personalized-play/pull/44	Sprint-5					release: feature
FEAT: Add playtime onboarding question	https://github.com/amosproj/amos2024ws04-personalized-play/pull/48	Sprint-5					release: feature
Feat/app auth flow user age	https://github.com/amosproj/amos2024ws04-personalized-play/pull/49	Sprint-5					release: feature
FIX: Add missing dependency for slider	https://github.com/amosproj/amos2024ws04-personalized-play/pull/50	Sprint-5					release: bug-fix
FIX: The next button in the onboarding screen is now disabled if the current question is not answered	https://github.com/amosproj/amos2024ws04-personalized-play/pull/51	Sprint-5					release: bug-fix
FIX(energylevel): Adjust image container && Question font && margin	https://github.com/amosproj/amos2024ws04-personalized-play/pull/71						release: bug-fix
CHORE: update expo and related dependencies to latest versions	https://github.com/amosproj/amos2024ws04-personalized-play/pull/72						release: chore
FEAT: Loading screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/73						release: feature
CI: Add Google services config and firebase config to EAS workflow	https://github.com/amosproj/amos2024ws04-personalized-play/pull/75						release: ci-cd
Feat: Implement custom font loading and enhance loading screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/76						release: feature
FEAT: Code refactoring + UI improvement	https://github.com/amosproj/amos2024ws04-personalized-play/pull/82						release: feature
FEAT: Re-design Activity Choice screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/83						release: feature
FEAT: Re-design energy level input screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/84						release: feature
FEAT: Playtime Question Redesign and logic improve using Formik	https://github.com/amosproj/amos2024ws04-personalized-play/pull/86						release: feature
FEAT: Re-design kids details input screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/87						release: feature
feat(InfoAlert): Info Alert Comp	https://github.com/amosproj/amos2024ws04-personalized-play/pull/88						release: feature
FEAT: Refactored backend & Genkit flow to list items from image	https://github.com/amosproj/amos2024ws04-personalized-play/pull/99						release: feature
FEAT: Save user onboarding data to firestore	https://github.com/amosproj/amos2024ws04-personalized-play/pull/100						release: feature
FEAT: Add Question To Take a Picture (Items In Hand)	https://github.com/amosproj/amos2024ws04-personalized-play/pull/101						release: feature
feat: Added skill question screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/102						release: feature
DOC(readme): update readme	https://github.com/amosproj/amos2024ws04-personalized-play/pull/103						release: documentation
feat: Display items identified when taking a picture	https://github.com/amosproj/amos2024ws04-personalized-play/pull/112						release: feature
CI: Version bump of `biome.js` from `^1.9.4` to `1.9.4`	https://github.com/amosproj/amos2024ws04-personalized-play/pull/113						release: ci-cd
FEAT: Add health considerations field on the kid input page	https://github.com/amosproj/amos2024ws04-personalized-play/pull/114						release: feature
Feat/display items identified	https://github.com/amosproj/amos2024ws04-personalized-play/pull/115						release: feature
FEAT: Genkit Chors flow	https://github.com/amosproj/amos2024ws04-personalized-play/pull/117						release: feature
FEAT: Add Feedback Screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/122						release: feature
feat(screen):Add functionality to save favorite activity	https://github.com/amosproj/amos2024ws04-personalized-play/pull/126						release: feature
Add favorite activity in firebase	https://github.com/amosproj/amos2024ws04-personalized-play/pull/127						
FEAT: Add Favorite Activities Screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/128						release: feature
Feat/start new play	https://github.com/amosproj/amos2024ws04-personalized-play/pull/131						release: feature
feat: updated build script to build both dev build with single command	https://github.com/amosproj/amos2024ws04-personalized-play/pull/135						release: feature
feat(selectKids): handle Formik	https://github.com/amosproj/amos2024ws04-personalized-play/pull/136						release: feature
FEAT: Add chore type selection inside a modal	https://github.com/amosproj/amos2024ws04-personalized-play/pull/137						release: feature
